,latitude,longitude,phh2o_0_30cm,ocd_0_30cm,cec_0_30cm,sand_0_30cm,silt_0_30cm,clay_0_30cm
64,34.89375,-86.60236,67.33,274.0,133.33,120.33,547.0,332.67
65,37.1864,-86.04093,53.67,268.67,127.33,234.0,501.0,264.67
66,30.4712,-88.74162,46.33,250.33,88.33,760.67,184.33,55.33
67,34.25188,-92.02632,54.0,226.67,97.33,245.33,569.0,186.0
68,34.7849,-90.81769,55.0,222.67,129.33,38.0,770.33,191.67
69,35.27732,-90.45031,55.67,260.33,171.0,132.67,452.33,415.0
70,33.0875,-90.51151,57.33,238.33,221.67,80.67,621.0,299.0
71,32.9972,-91.05993,65.33,246.67,296.33,47.0,582.33,370.67
72,37.93299,-79.21513,60.0,285.67,147.33,76.33,541.67,381.67
73,36.64517,-80.14902,53.67,263.0,86.67,430.33,360.33,208.67
74,35.20842,-92.92462,57.67,220.0,109.33,398.0,438.67,163.0
75,34.27788,-91.35017,59.0,224.0,138.33,56.67,701.0,242.67
76,37.1313,-97.0859,57.33,216.0,94.33,698.67,160.0,141.33
77,39.78638,-99.32953,68.0,221.33,223.33,70.67,662.67,266.67
78,39.70045,-96.1629,60.0,281.33,287.33,48.33,545.33,406.33
79,19.53322,-155.92914,59.0,336.67,223.0,325.33,319.0,356.0
80,20.0955,-155.50864,55.0,336.33,235.0,345.0,308.0,347.0
81,20.0096,-155.5979,55.0,363.67,203.67,336.33,294.0,369.67
82,19.76505,-155.42348,67.33,359.33,303.67,406.67,270.33,322.67
83,19.95658,-155.53517,60.0,369.33,241.67,381.0,287.33,331.33
84,33.61536,-102.03869,74.0,142.0,120.67,594.67,216.33,188.67
85,33.55125,-102.37392,77.33,133.33,117.0,581.0,213.33,205.33
86,33.62647,-102.7453,75.33,149.67,121.67,684.33,162.0,154.0
87,33.53513,-103.242,75.67,123.67,87.67,746.0,100.0,153.67
88,33.53382,-103.63097,76.33,135.67,92.33,771.33,78.33,150.33
89,33.65911,-90.57297,56.67,243.33,204.67,84.33,536.0,380.0
90,32.86153,-90.51989,61.67,267.67,334.0,54.33,495.33,450.33
91,40.37042,-101.7201,63.33,194.0,168.33,371.33,429.33,199.0
92,34.19492,-86.79897,50.67,246.67,85.0,434.67,378.0,187.0
93,32.608,-88.19743,66.33,268.67,207.67,362.67,287.33,350.67
94,32.43455,-85.74802,54.67,257.67,68.67,749.33,129.33,121.67
95,40.09247,-118.49345,77.0,316.33,453.33,73.0,319.67,606.67
96,48.30453,-111.92363,71.67,232.33,220.33,294.67,389.67,315.67
97,48.43578,-111.18423,73.0,206.67,220.33,206.0,426.0,368.67
98,47.05818,-109.95082,72.67,261.67,219.0,327.67,349.0,323.33
99,47.77102,-104.247,70.0,231.0,188.67,256.33,443.0,300.67
100,47.522,-107.12731,70.67,222.0,224.67,144.0,522.67,333.67
101,18.02502,-66.5279,73.33,264.33,259.0,290.0,326.33,383.33
102,17.71833,-64.79518,77.33,319.33,288.0,234.0,338.67,427.67
103,38.15133,-112.25122,80.0,155.0,249.33,516.33,314.33,169.33
104,39.36798,-111.57803,79.67,266.0,209.0,162.67,403.0,434.33
