Unnamed: 0,stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate,silt_0_30cm,clay_0_30cm,nitrogen_0_30cm,sand_0_30cm,soc_0_30cm
1974,2097:HI:SCAN,2097,HI,SCAN,Kukuihaele,GC,Hawaii,200100000203,930,20.0955,-155.50864,-10,32496,KXAH1,2005-02-11 00:00,2100-01-01 00:00,308.0,347.0,294.0,345.0,362.0
1980,2141:NV:SCAN,2141,NV,SCAN,Kyle Canyon,GC,Clark,150100150301,7010,36.26527,-115.60852,-8,34941,KCYN2,2007-10-23 00:00,2100-01-01 00:00,337.33,181.67,248.0,480.67,252.67
2087,2106:TX:SCAN,2106,TX,SCAN,Lehman,GC,Cochran,120800010301,3760,33.62647,-102.7453,-6,30944,LEHT2,2005-03-12 00:00,2100-01-01 00:00,162.0,154.0,188.67,684.33,202.33
2096,2105:TX:SCAN,2105,TX,SCAN,Levelland,GC,Hockley,120500040203,3510,33.55125,-102.37392,-6,30943,LVLT2,2005-03-11 00:00,2100-01-01 00:00,213.33,205.33,91.33,581.0,89.33
2116,2021:WA:SCAN,2021,WA,SCAN,Lind #1,GC,Adams,170200150807,1650,47.0,-118.56667,-8,19303,LDDW1,1993-09-27 00:00,2100-01-01 00:00,572.0,124.0,105.67,304.33,99.33
2118,581:MT:SCAN,581,MT,SCAN,Lindsay,GC,Dawson,101000041002,2820,47.21415,-105.18702,-7,33997,LDSM8,1990-10-01 00:00,2100-01-01 00:00,261.67,165.0,158.33,573.33,142.33
2153,2155:UT:SCAN,2155,UT,SCAN,Little Red Fox,GC,Duchesne,140600030406,5390,40.17957,-110.30464,-7,43926,LRFU1,2010-01-20 00:00,2100-01-01 00:00,341.67,337.0,130.33,321.33,128.33
2154,2027:GA:SCAN,2027,GA,SCAN,Little River,GC,Tift,31102040105,340,31.5,-83.55,-5,24419,LRVG1,1999-05-19 09:00,2100-01-01 00:00,91.33,106.33,123.33,802.33,205.67
2174,2114:AL:SCAN,2114,AL,SCAN,Livingston-UWA,GC,Sumter,31602020404,150,32.608,-88.19743,-6,33154,LVSA1,2006-05-17 00:00,2100-01-01 00:00,287.33,350.67,152.33,362.67,198.33
2213,2169:NM:SCAN,2169,NM,SCAN,Los Lunas PMC,GC,Valencia,130202030604,4840,34.7715,-106.76288,-7,40727,LNAN5,2009-09-20 00:00,2100-01-01 00:00,87.33,167.67,73.67,744.67,73.33
2242,2146:NV:SCAN,2146,NV,SCAN,Lovell Summit,GC,Clark,160600150401,6600,36.16555,-115.61195,-8,34943,LSMN2,2007-10-29 00:00,2100-01-01 00:00,289.67,178.0,212.0,532.33,226.67
2244,2116:NV:SCAN,2116,NV,SCAN,Lovelock NNR,GC,Pershing,160401081100,3930,40.09247,-118.49345,-8,33798,LUVN2,2006-09-26 00:00,2100-01-01 00:00,319.67,606.67,256.67,73.0,252.0
2264,2230:MO:SCAN,2230,MO,SCAN,LTSP,GC,Shannon,110100080503,880,37.18167,-91.11778,-6,,,2021-07-06 00:00,2100-01-01 00:00,585.0,155.67,190.33,259.33,222.67
2276,2042:VT:SCAN,2042,VT,SCAN,Lye Brook,GC,Bennington,20200030202,2420,43.05753,-73.03834,-5,25913,LBKV1,2000-09-14 00:00,2100-01-01 00:00,362.67,74.67,965.67,562.67,1648.0
2296,2028:PA:SCAN,2028,PA,SCAN,Mahantango Ck,GC,Northumberland,20503010801,720,40.67309,-76.66702,-5,24393,MHCP1,1999-04-27 13:00,2100-01-01 00:00,467.33,202.0,344.33,330.67,386.67
2302,2079:KY:SCAN,2079,KY,SCAN,Mammoth Cave,GC,Hart,51100010808,790,37.1864,-86.04093,-6,29746,MAMK2,2003-08-28 00:00,2100-01-01 00:00,501.0,264.67,206.0,234.0,304.67
2307,2102:HI:SCAN,2102,HI,SCAN,Mana House,GC,Hawaii,200100000202,4230,19.95658,-155.53517,-10,32500,MANH1,2005-02-18 00:00,2100-01-01 00:00,287.33,331.33,303.33,381.0,320.67
2311,2020:ND:SCAN,2020,ND,SCAN,Mandan #1,GC,Morton,101301020105,1930,46.76667,-100.91667,-7,19646,MNDN8,1993-11-08 00:00,2100-01-01 00:00,401.67,247.0,220.0,351.67,234.33
2312,2156:UT:SCAN,2156,UT,SCAN,Manderfield,GC,Beaver,160300070101,6190,38.36649,-112.64291,-7,40633,MNDU1,2010-04-16 00:00,2100-01-01 00:00,492.67,241.33,182.67,266.33,170.33
2316,2149:CA:SCAN,2149,CA,SCAN,Marble Creek,GC,Mono,180901020501,6190,37.77767,-118.4209,-8,40058,MCXC1,2009-05-06 00:00,2100-01-01 00:00,200.33,68.33,73.33,731.67,76.0
2320,15:PR:SCAN,15,PR,SCAN,Maricao Forest,GC,UNKNOWN,210100030405,1670,18.15,-67.00468,-4,28522,MAFP4,2001-05-08 00:00,2100-01-01 00:00,361.67,378.67,402.33,259.33,545.0
2322,2225:MO:SCAN,2225,MO,SCAN,Mark Twain HS,GC,Ralls,71100070205,730,39.51311,-91.51401,-6,2018MO,CNRM7,2018-05-17 00:00,2100-01-01 00:00,683.33,257.67,178.67,59.33,180.33
2338,2043:NH:SCAN,2043,NH,SCAN,Mascoma River,GC,Grafton,10801060101,1390,43.7756,-72.02593,-5,24097,MSRN3,1998-08-03 00:00,2100-01-01 00:00,228.33,32.33,1088.67,739.33,2378.0
2339,2004:IL:SCAN,2004,IL,SCAN,Mason #1,GC,Mason,71300030507,490,40.31314,-89.90187,-6,18819,MASI2,1993-10-01 00:00,2100-01-01 00:00,217.33,126.0,227.33,656.67,186.0
2345,2110:MS:SCAN,2110,MS,SCAN,Mayday,GC,Yazoo,80302060902,100,32.86153,-90.51989,-6,32626,MAYM6,2005-09-23 00:00,2100-01-01 00:00,495.33,450.33,178.33,54.33,158.67
2356,2075:TN:SCAN,2075,TN,SCAN,McAllister Farm,GC,Lincoln,60300020302,940,35.06445,-86.59137,-6,30332,MCAT1,2003-06-02 00:00,2100-01-01 00:00,587.33,254.67,167.33,158.0,174.0
2363,2140:UT:SCAN,2140,UT,SCAN,Mccracken Mesa,GC,San Juan,140802010508,5310,37.44671,-109.33776,-7,34636,RACU1,2007-09-19 00:00,2100-01-01 00:00,284.33,241.33,75.33,474.33,72.33
2442,2129:UT:SCAN,2129,UT,SCAN,Milford,GC,Beaver,160300070406,5000,38.34196,-113.01053,-7,34113,MFRU1,2007-05-12 00:00,2100-01-01 00:00,531.33,336.67,160.67,132.33,139.0
2482,2232:PR:SCAN,2232,PR,SCAN,Miradero,GC,UNKNOWN,210100030302,130,18.21139,-67.13454,-4,21400,AYGP4,2022-05-04 00:00,2100-01-01 00:00,394.0,536.67,306.0,69.0,376.67
2508,2119:MT:SCAN,2119,MT,SCAN,Moccasin,GC,Judith Basin,100401030508,4250,47.05818,-109.95082,-7,33996,MSCM8,2006-10-21 00:00,2100-01-01 00:00,349.0,323.33,215.33,327.67,222.67
2513,2014:OH:SCAN,2014,OH,SCAN,Molly Caren #1,GC,Madison,50600020102,1030,39.95,-83.45,-5,19347,MOLO1,1993-10-01 00:00,2100-01-01 00:00,498.33,322.0,322.33,179.67,205.67
2521,2217:CA:SCAN,2217,CA,SCAN,Monocline Ridge,GC,Fresno,180300090904,890,36.54417,-120.55463,-8,,RGMC1,2014-10-29 00:00,2100-01-01 00:00,385.67,314.0,103.67,300.33,94.0
