,lat_centroid,lon_centroid,year,month
30320,38.70801365526135,-86.80307337140702,2021,8
30321,38.70801365526135,-86.80307337140702,2021,9
30323,38.70801365526135,-86.80307337140702,2020,4
30324,38.70801365526135,-86.80307337140702,2020,5
30325,38.70801365526135,-86.80307337140702,2020,6
30326,38.70801365526135,-86.80307337140702,2020,7
30327,38.70801365526135,-86.80307337140702,2020,8
30328,38.70801365526135,-86.80307337140702,2020,9
30329,38.70801365526135,-86.80307337140702,2020,10
30421,38.70801365526135,-86.80307337140702,2003,8
30431,38.39878003300407,-87.23216276062645,2022,4
30432,38.39878003300407,-87.23216276062645,2022,5
30433,38.39878003300407,-87.23216276062645,2022,6
30434,38.39878003300407,-87.23216276062645,2022,7
30435,38.39878003300407,-87.23216276062645,2022,8
30436,38.39878003300407,-87.23216276062645,2022,9
30437,38.39878003300407,-87.23216276062645,2022,10
30438,38.39878003300407,-87.23216276062645,2020,4
30439,38.39878003300407,-87.23216276062645,2016,4
30440,38.39878003300407,-87.23216276062645,2016,5
30441,38.39878003300407,-87.23216276062645,2016,6
30464,38.39878003300407,-87.23216276062645,2012,8
30465,38.39878003300407,-87.23216276062645,2012,9
30466,38.39878003300407,-87.23216276062645,2012,10
30474,38.39878003300407,-87.23216276062645,2009,4
30475,38.39878003300407,-87.23216276062645,2009,5
30476,38.39878003300407,-87.23216276062645,2009,6
30480,38.39878003300407,-87.23216276062645,2009,10
30481,38.39878003300407,-87.23216276062645,2008,4
30487,38.39878003300407,-87.23216276062645,2008,10
30492,38.39878003300407,-87.23216276062645,2007,8
30493,38.39878003300407,-87.23216276062645,2007,9
30494,38.39878003300407,-87.23216276062645,2007,10
30495,38.39878003300407,-87.23216276062645,2006,4
30496,38.39878003300407,-87.23216276062645,2006,5
30501,38.39878003300407,-87.23216276062645,2006,10
30516,38.39878003300407,-87.23216276062645,2003,5
30517,38.39878003300407,-87.23216276062645,2003,6
30518,38.39878003300407,-87.23216276062645,2003,7
30519,38.39878003300407,-87.23216276062645,2003,8
30522,38.39878003300407,-87.23216276062645,2002,4
30523,38.39878003300407,-87.23216276062645,2002,5
30524,38.39878003300407,-87.23216276062645,2002,6
30525,38.39878003300407,-87.23216276062645,2002,7
