,stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate
1614,2166:UT:SCAN,2166,UT,SCAN,Harms Way,GC,San Juan,140300020802,7060.0,38.31347,-109.23998,-7.0,43929,HWYU1,2010-03-03 00:00,2100-01-01 00:00
1693,2055:AL:SCAN,2055,AL,SCAN,Hodges,GC,Marshall,060300010705,660.0,34.44486,-86.16517,-6.0,27980,HDGA1,2002-02-23 00:00,2100-01-01 00:00
1697,2127:UT:SCAN,2127,UT,SCAN,Holden,GC,Millard,160300051502,4750.0,39.19216,-112.40155,-7.0,34114,HLDU1,2007-05-10 00:00,2100-01-01 00:00
1742,2069:NH:SCAN,2069,NH,SCAN,Hubbard Brook,GC,Grafton,010700010205,1480.0,43.94843,-71.72644,-5.0,,HUBN3,2002-09-26 00:00,2100-01-01 00:00
1807,2052:PR:SCAN,2052,PR,SCAN,Isabela,GC,Isabela,210100020507,390.0,18.47022,-67.04372,-4.0,9774,ISSP4,2003-08-12 00:00,2100-01-01 00:00
1808,2173:AL:SCAN,2173,AL,SCAN,Isbell Farms,GC,Colbert,060300051002,610.0,34.81982,-87.98685,-6.0,70252,ISBA1,2010-04-08 00:00,2100-01-01 00:00
1858,2111:NE:SCAN,2111,NE,SCAN,Johnson Farm,GC,Chase,102500040102,3330.0,40.37042,-101.7201,-7.0,32413,JOFN1,2005-10-26 00:00,2100-01-01 00:00
1866,2121:MT:SCAN,2121,MT,SCAN,Jordan,GC,Garfield,100401041801,2810.0,47.522,-107.12731,-7.0,34592,JRDM8,2007-06-06 00:00,2100-01-01 00:00
1869,2148:ID:SCAN,2148,ID,SCAN,Jordan Valley Cwma,GC,Owyhee,170501080405,4500.0,42.94863,-117.0106,-7.0,,JVCI1,2008-12-10 00:00,2100-01-01 00:00
1871,2168:NM:SCAN,2168,NM,SCAN,Jornada Exp Range,GC,Dona Ana,130301030502,4350.0,32.5566,-106.69997,-7.0,40726,JERN5,2009-10-19 00:00,2100-01-01 00:00
