latitude,longitude,phh2o,ocd,cec,sand,silt,clay,stationTriplet
39.15321,-90.78279,58,140,165,43,690,266,2220:MO:SCAN
38.52557,-92.13475,62,140,132,52,652,269,2223:MO:SCAN
38.50472,-92.24667,57,153,186,66,514,339,2224:MO:SCAN
39.51311,-91.51401,63,163,189,45,685,254,2225:MO:SCAN
36.99024,-91.30943,50,95,77,234,522,168,2226:MO:SCAN
38.47889,-90.80639,55,117,125,45,711,230,2227:MO:SCAN
31.504,-94.75994,56,90,31,608,339,39,2228:TX:SCAN
40.63697,-115.2212,80,106,204,333,416,169,2229:NV:SCAN
37.18167,-91.11778,49,100,65,230,608,125,2230:MO:SCAN
37.50138,-91.2594,48,98,54,212,560,130,2231:MO:SCAN
18.21139,-67.13454,52,195,196,54,318,623,2232:PR:SCAN
35.40455,-108.1783,81,100,132,552,127,125,2233:NM:SCAN
36.45976,-120.70601,74,151,357,162,361,372,2234:CA:SCAN
37.97787,-118.68626,75,79,93,615,192,105,2235:CA:SCAN
38.07666,-119.11417,69,112,94,621,193,71,2236:CA:SCAN
36.56295,-118.13562,60,83,114,738,202,52,2237:CA:SCAN
19.98566,-155.35558,52,269,160,332,261,253,2238:HI:SCAN
35.83799,-118.03377,67,114,109,714,182,46,2240:CA:SCAN
47.21415,-105.18702,78,166,77,641,232,127,581:MT:SCAN
43.32268,-115.99643,70,91,222,290,571,116,674:ID:SCAN
45.80272,-111.58655,81,140,288,203,311,486,808:MT:SCAN
